rank,mark,wind,competitor,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,season
450,3:25.33,,Jamaica,JAM,3,München (GER),2004-08-08,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.33,GER,2004
453,3:25.34,,United States,USA,4,"SGJ, Johannesburg (RSA)",1998-09-11,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.34,RSA,1998
453,3:25.34,,Poland,POL,2h1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.34,BRA,2016
453,3:25.34,,United States,USA,2,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-03,1203.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.34,GBR,2024
456,3:25.35,,United States,USA,1f2,"Hilmer Lodge Stadium, Walnut, CA (USA)",2022-04-16,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.35,USA,2022
456,3:25.35,,Norway,NOR,4f1,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-11,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.35,CHN,2025
458,3:25.37,,United States,USA,1h2,"Olympic Stadium, Athina (GRE)",1997-08-09,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.37,GRE,1997
459,3:25.39,,Great Britain & NI,GBR,1h2,"Luzhniki Stadion, Moskva (RUS)",2013-08-16,1177.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.39,RUS,2013
459,3:25.39,,United States,USA,1,San José (CRC),2015-08-09,1177.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.39,CRC,2015
461,3:25.40,,Nigeria,NGR,2h2,"Olympic Stadium, London (GBR)",2017-08-12,1177.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.4,GBR,2017
462,3:25.41,,Poland,POL,3,"Olympic Stadium, London (GBR)",2017-08-13,1177.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.41,GBR,2017
463,3:25.42,,Nigeria,NGR,4sf2,"Ullevi Stadium, Göteborg (SWE)",1995-08-12,1177.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.42,SWE,1995
464,3:25.43,,Texas A&M,INT,2f3,"Gilliam Indoor Track, College Station, TX (USA) (i)",2022-02-26,1202.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.43,USA,2022
465,3:25.44,,Belgium,BEL,2h1,"Olympiastadion, München (GER)",2022-08-19,1177.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.44,GER,2022
466,3:25.45,,Great Britain & NI,GBR,2h2,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-01,1177.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.45,JPN,2007
